"country","tot"
"1","Afghanistan",1331082
"2","Albania",2161470
"3","Algeria",9790
"4","Angola",68006
"5","Argentina",900553
"6","Armenia",105106
"7","Australia",10038801
"8","Austria",35858
"9","Azerbaijan",438443
"10","Bahamas",18825
"11","Bangladesh",27744143.94
"12","Belarus",44972.94
"13","Belgium",3111137.5
"14","Belize",2000
"15","Benin",1291737
"16","Bhutan",1100712.5
"17","Bolivia",2234850
"18","Bosnia and Herzegovina",61011
"19","Botswana",296629
"20","Brazil",14363658
"21","Brunei",30000
"22","Bulgaria",802234
"23","Burkina Faso",8695066
"24","Burundi",1339692
"25","Cambodia",5210851
"26","Cameroon",3246602.5
"27","Canada",5456818
"28","Chad",2539217
"29","Chile",938794
"30","China",27467317
"31","Colombia",2216412
"32","Congo",1585069
"33","Costa Rica",35000
"34","Croatia",533470
"35","Cuba",45758
"36","Cyprus",122640
"37","Czech Republic",51894
"38","Democratic Republic of the Congo",9970
"39","Denmark",4800771
"40","Dominican Republic",742784
"41","East Timor",318463
"42","Ecuador",1156878
"43","Egypt",2585296
"44","El Salvador",1648053
"45","Eritrea",161493
"46","Estonia",144584
"47","Ethiopia",18533595
"48","Fiji",834171
"49","Finland",903612
"50","France",12164425.57
"51","Gabon",10190
"52","Georgia",4881405
"53","Germany",8103944
"54","Ghana",13950934.84
"55","Greece",508246
"56","Guatemala",2474256
"57","Guinea",3237078
"58","Haiti",1970508
"59","Honduras",669306
"60","Hong Kong",756317
"61","Hungary",208900
"62","Iceland",1044022.93
"63","India",88582185.81
"64","Indonesia",34134354
"65","Iran",5683523
"66","Iraq",35655444
"67","Ireland",87910643.5
"68","Israel",6694638.9925
"69","Italy",6085552.89
"70","Ivory Coast",206910
"71","Jamaica",1372047
"72","Japan",25688504.19
"73","Jordan",969361
"74","Kazakhstan",454865
"75","Kenya",180390116.69
"76","Kyrgyzstan",504870
"77","Laos",1546527
"78","Latvia",12805
"79","Lebanon",1213754
"80","Lesotho",85000
"81","Liberia",1823490
"82","Libya",87460
"83","Lithuania",63894
"84","Luxembourg",1750
"85","Macau",38690
"86","Madagascar",4079012
"87","Malawi",105687873.8
"88","Malaysia",3757431
"89","Mali",4664401
"90","Malta",1860717
"91","Mauritius",20500
"92","Mexico",1026391.63
"93","Moldova",125014
"94","Mongolia",100187
"95","Morocco",53098.03
"96","Mozambique",7418247
"97","Myanmar",2118802
"98","Namibia",1064512
"99","Nepal",11141846.68
"100","Netherlands",838602
"101","New Zealand",41479
"102","Nicaragua",1131507
"103","Niger",715099
"104","Nigeria",3642608
"105","Norway",3099203.22
"106","Oman",1225
"107","Pakistan",9345512
"108","Palestine",1447458
"109","Papua New Guinea",643127
"110","Peru",11852918.9
"111","Philippines",1492957
"112","Poland",1035232.8
"113","Portugal",280885
"114","Puerto Rico",94862
"115","Romania",760116.96
"116","Russia",12681958.5
"117","Rwanda",14550076.48
"118","Saudi Arabia",9200
"119","Senegal",1655780
"120","Serbia",422250
"121","Sierra Leone",9270953.96
"122","Singapore",20202602
"123","Slovakia",76007
"124","Slovenia",875
"125","Solomon Islands",314013
"126","Somalia",951556
"127","South Africa",71636750.5
"128","South Sudan",432892
"129","Spain",5442785.5
"130","Sri Lanka",8849456
"131","Sudan",3851189
"132","Suriname",195351
"133","Swaziland",4036722
"134","Sweden",4003626
"135","Switzerland",660858.73
"136","Syria",2190665
"137","Taiwan",45883
"138","Tajikistan",334515
"139","Tanzania",50015467.47
"140","Thailand",59665283
"141","The Gambia",5083140
"142","Togo",1085694
"143","Trinidad and Tobago",5000
"144","Tunisia",215498
"145","Turkey",1072887.52
"146","Uganda",31199727.87
"147","Ukraine",599755
"148","United Kingdom",42624019
"149","United States",18215962
"150","Uruguay",327750
"151","Venezuela",150000
"152","Vietnam",45972051
"153","Western Sahara",10000
"154","Yemen",2311168
"155","Zambia",4536187.29
"156","Zimbabwe",17386944
"157",NA,19463046209.1028
